                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4882,                 13.576,                 5.3204,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8365,                 105.89,                 2.0796,              5.383e-05,              5.383e-05,              5.383e-05
                      2,                 3.5685,                 10.598,                 4.7471,                  2e-05,                0.01786,                  2e-05,                      0,                 1.8366,                 105.97,                 2.0799,             7.7285e-05,             7.7285e-05,             7.7285e-05
                      3,                  3.497,                 11.726,                 4.5462,                  4e-05,                0.05952,                  3e-05,                      0,                 1.8371,                 106.15,                 2.0802,             6.0136e-05,             6.0136e-05,             6.0136e-05
